run,kernel,dynamic_ffma_count,total_cycles,cycles_per_ffma,checksum
0,timer_only,0,3,,1.00010001659
0,dependent,131072,573497,4.37543487549,1.03135001659
0,independent_8,131072,200763,1.53170013428,8.0356502533
