"File Path","C:/Users/as042/OneDrive/Desktop/SASSScope/src/probe_kernels.cu"
"Function Name","probe_timer_only"
"Line No","Source","Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Avg. Predicated-On Threads Unexecuted","Address Space","Access Operation","Access Size","L1 Tag Requests Global","L1 Conflicts Shared N-Way","L2 Theoretical Sectors Global Excessive","L2 Theoretical Sectors Global","L2 Theoretical Sectors Global Ideal","L2 Explicit Evict Policies","L2 Explicit Hit Policy Evict First","L2 Explicit Hit Policy Evict Last","L2 Explicit Hit Policy Evict Normal","L2 Explicit Hit Policy Evict Normal Demote","L2 Explicit Miss Policy Evict First","L2 Explicit Miss Policy Evict Normal"
"","","0x700e7d1e0","      IMAD.MOV.U32 R5, RZ, RZ, c[0x0][0x16c]","0","0","1","1","1","1","1","31","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","0x700e7d200","      STG.E [R4.64], R9","0","0","1","1","1","1","1","31","Global","Store","32","1","0","0","1","1","","0","0","0","0","0","0"
"101","}","-","-","0","0","1","1","1","1","1","31","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d210","      EXIT","0","0","1","1","1","1","1","31","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d220","      BRA `(.L_x_0) 0x700e7d220","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d230","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d240","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d250","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d260","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d270","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d280","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d290","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d2a0","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d2b0","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d2c0","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d2d0","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d2e0","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
"","","0x700e7d2f0","      NOP","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0"
